actor,avg_rating
Adriana Ozores,3.310909090909091
Adriana Paz,3.1150000000000007
Adrian Dunbar,3.372777777777778
Adrian Edmondson,3.40576923076923
Adriane Lenox,3.142352941176471
Adrian Hough,2.788636363636363
Adrian Hoven,3.4205555555555556
Adrian Lester,3.097894736842105
Adrian Martinez,2.8958333333333335
Adrian M. Mompoint,2.4490909090909088
Adrian Morris,3.4757142857142855
Adrianne Palicki,2.8746666666666667
Adriano Celentano,3.3442857142857148
Adriano Domínguez,3.3790909090909094
Adrian Pasdar,3.07
Adrian Paul,2.6446666666666667
Adrian Petriw,3.048666666666666
Adrian Rosley,3.298461538461538
Adrián Suar,2.9641666666666673
Adrien Dorval,2.857058823529412
Adrien Ménielle,3.315
Adrienne Barbeau,3.0140540540540535
Adrienne Corri,3.2900000000000005
Adrienne D'Ambricourt,3.4352380952380948
Adrienne King,3.178181818181818
Adrienne McQueen,2.7036363636363636
Adrienne Shelly,3.4138461538461535
Adukalam Naren,3.025000000000001
Afaf Rashad,2.866153846153846
Afemo Omilami,3.182222222222222
Affif Ben Badra,3.165
Affion Crockett,2.5288235294117647
Agata Buzek,3.245499999999999
Agathe Bonitzer,3.266923076923077
Ágnes Bánfalvy,3.0149999999999997
Agnes Kittelsen,3.2427272727272727
Agnès Soral,3.2854545454545456
Agnieszka Dygant,3.02
Agostino Borgato,3.2800000000000002
Agustín Almodóvar,3.6082608695652176
Agustín González,3.541290322580646
Agustín Isunza,3.490833333333334
Agyness Deyn,2.918
Aharon Ipalé,3.0405882352941176
Ahmad Fahmy,3.0209999999999995
Ahmad Mehranfar,2.5460000000000003
Ahmad Seyam,2.973636363636363
Ahmed Akl,3.364666666666667
Ahmed Al Fishawy,3.192
Ahmed Al Salakawi,3.1154545454545453
Ahmed Eid,3.1499999999999995
Ahmed ElHalwany,3.138461538461539
Ahmed El Sakka,3.179600000000001
Ahmed Ezz,3.0784210526315787
Ahmed Faheem,2.985454545454546
Ahmed Fathy,2.8277272727272726
Ahmed Fouad Selim,3.254166666666667
Ahmed Hatem,2.9783333333333335
Ahmed Kamal,3.4545833333333333
Ahmed Malek,3.1834999999999996
Ahmed Mekky,3.181
Ahmed Salah ElSaadany,3.1754545454545453
Ahmed Sylla,3.0313333333333343
Ahmed Zaki,3.5770000000000004
Ahmet Açan,3.3246153846153845
Ahmet Arıman,3.4872727272727277
Ahmet Mümtaz Taylan,3.1963333333333335
Ahmet Rıfat Şungar,3.3399999999999994
Ahna O'Reilly,3.0721428571428575
Ahn Jae-hong,3.452307692307692
Ahn Ji-hye,3.2550000000000003
Ahn Kil-kang,3.386969696969697
Ahn Nae-sang,3.5395000000000003
Ahn Se-ha,3.411538461538462
Ahuti Prasad,3.231764705882354
Ai-Ai delas Alas,3.036153846153846
Aidan McArdle,3.3025
Aidan Quinn,3.2344230769230773
Aidan Turner,3.28
Aida Nurmala,3.1508333333333334
Aida Turturro,3.1449999999999987
Ai Fei,3.4322222222222223
Ai Hashimoto,3.369047619047619
Ai Kakuma,3.412352941176471
Ai Kayano,3.50258064516129
Aileen Lewis,3.317333333333333
Aileen Pringle,3.471818181818182
Ailen Sit Chun-Wai,3.375
Aílton Graça,3.3089473684210526
Ai Maeda,3.5184615384615388
Aimée Delamain,3.084
Aimee Garcia,2.866818181818182
Aimee Mullins,3.145
Aimee Teegarden,2.6969230769230768
Aimi Satsukawa,3.3215384615384616
Ai Nonaka,3.7081818181818176
Aisha Tyler,2.6515384615384616
Aishwarya Lekshmi,3.0566666666666666
Aishwarya Rai Bachchan,3.182142857142856
Aisling Loftus,3.217
Aïssa Maïga,3.3899999999999992
Ajay Ghosh,3.087307692307692
Ajay Naidu,3.1704166666666667
Ajay Rathnam,3.3164516129032244
A.J. Buckley,2.882631578947368
A.J. Cook,2.8636363636363638
Ajith Kumar,3.1058823529411757
Ajlan Aktuğ,3.397272727272727
Ajmal Ameer,3.0630769230769235
Aju Varghese,3.088
Akash Khurana,3.1762499999999996
Akbar Abdi,2.5918181818181814
Akeno Watanabe,3.461052631578948
Aki Aleong,2.974545454545455
Akiko Hiramatsu,3.631428571428571
Akiko Koyama,3.643076923076923
Akio Kusama,3.2969230769230764
Akio Nojima,3.3880000000000003
Akio Otsuka,3.528499999999998
Akio Tanaka,3.7610000000000006
Akira Hamada,3.473750000000001
Akira Hisamatsu,3.4995000000000003
Akira Ishida,3.5651562499999985
Akira Ishihama,3.654
Akira Kamiya,3.483673469387755
Akira Kobayashi,3.4875000000000007
Akira Kuji,3.4229999999999996
Akira Nagoya,3.7572727272727273
Akira Nakao,3.3984210526315786
Akira Sera,3.4625
Akira Shioji,3.4966666666666666
Akira Takarada,3.3853846153846145
Akira Yamada,3.232
Akira Yamanouchi,3.6833333333333336
Akitake Kôno,3.5671428571428576
Aki Toyosaki,3.4823076923076925
Ako Mayama,3.5091666666666668
Akshaye Khanna,3.0851724137931034
Akshay Oberoi,3.1246153846153844
Alaa Morsy,2.9838461538461534
Alaa Safi,3.0375
Alaa Zinhom,3.1274999999999995
Alain Cauchi,3.3409999999999997
Alain Delon,3.4144615384615373
Alain Doutey,3.272272727272727
Alain Figlarz,3.1241176470588234
Alain Fromager,3.2172727272727273
Alain Goulem,3.0773684210526318
Alain Hernández,3.0461538461538455
Alain Moussi,2.5249999999999995
Alan Autry,3.1830769230769227
Alan Baxter,3.3387500000000006
Alan Bennett,3.4707692307692306
Alan Blumenfeld,3.030357142857143
Alan Caillou,3.060833333333333
Alan Chan Kwok-Kuen,3.4295
Alan Chui Chung-San,3.472727272727273
Alan Cox,2.903
Alan Curtis,3.2843750000000003
Alan Dershowitz,3.3659999999999997
Alan Dexter,3.256428571428571
Alan Dinehart,3.283888888888889
Alan Fudge,3.1450000000000005
Alan Hewitt,3.2166666666666663
Alan Howard,3.586428571428571
Alanis Morissette,3.309285714285714
Alan King,3.279565217391304
Alan Ladd,3.3667647058823524
Alan Marshal,3.403125
Alan Maxson,2.723
Alan McKenna,2.903076923076923
Alan Mowbray,3.3472340425531906
Alan Napier,3.3894230769230758
Alan North,3.267058823529412
Alan Oppenheimer,3.177812499999999
Alan Rachins,2.851
Alan Rickman,3.3767924528301876
Alan Ritchson,2.8584210526315785
Alan Rosenberg,3.2707142857142855
Alan Ruck,2.9062499999999996
Alan Scarfe,3.0472727272727274
Alan Shearman,2.956
Alan Thicke,2.953333333333333
Alan Vint,3.4525
Alan Wells,3.163888888888889
Alan Wilder,3.348
Alan Young,3.30625
Alastair Duncan,3.0963636363636358
Alastair Mackenzie,3.182142857142857
Alastair Sim,3.454117647058824
Al Bain,3.374166666666667
Alba Maiolini,3.3113793103448272
Alban Casterman,3.1023076923076918
Alban Ivanov,3.091666666666667
Alban Lenoir,3.0542307692307693
Albano Jerónimo,3.3340000000000005
Alba Rohrwacher,3.318958333333333
Albert Austin,3.57375
Albert Bessler,3.305454545454545
Albert Carrier,3.3493333333333326
Albert Cavens,3.528333333333333
Albert Conti,3.3779999999999997
Albert Dekker,3.3857894736842113
Albert Delpy,3.407083333333333
Albert Dray,3.2555555555555555
Albert Dupontel,3.371212121212122
Albert Lieven,3.4225000000000008
Albert Michel,3.540666666666666
Alberto Ajaka,3.3176923076923077
Alberto Ammann,3.1846153846153844
Alberto Catalá,3.373846153846154
Alberto Cracco,3.436363636363636
Alberto Dalbés,3.1128571428571425
Alberto de Mendoza,3.3731249999999995
Alberto Farnese,3.3950000000000005
Alberto Jo Lee,3.021
Alberto Morin,3.370416666666666
Albert Petit,3.4219999999999993
Albert Rémy,3.6213636363636366
Albrecht Schuch,3.506666666666667
Al Bridge,3.470727272727273
Al Burke,2.946
Al Cerullo,3.1377272727272736
Al Cliver,3.0084210526315793
Alden Ehrenreich,3.2279999999999998
Aldis Hodge,2.995
Aldo Baglio,3.3199999999999994
Aldo Barberito,3.3154545454545454
Aldo Massasso,3.180769230769231
Aldo Ray,3.0744736842105262
Aldrich Bowker,3.383636363636363
Ale,3.0419999999999994
Alec Baldwin,3.1333636363636357
Alec B. Francis,3.312
Alec Craig,3.4395454545454553
Alec Mango,3.3
Alec McCowen,3.4342857142857137
Alec Medlock,3.2372727272727273
Alejandro Awada,3.277777777777778
Alejandro Calva,3.08
Alejandro Goic,3.3947999999999996
Alejandro Rey,3.1184615384615384
Aleksandr Bashirov,3.451111111111112
Aleksandr Demidov,3.287
Aleksandr Gorchilin,3.379
Aleksandr Ilin,3.3024000000000013
Aleksandr Kuznetsov,3.531333333333333
Aleksandr Oblasov,2.8879999999999995
Aleksandr Pal,3.19375
Aleksandr Pyatkov,3.656
Aleksandr Robak,3.0699999999999994
Aleksandr Yatsenko,3.3925
Aleksa Palladino,3.1137500000000005
Aleksei Kravchenko,3.3880000000000003
Aleksei Smirnov,3.524545454545455
Aleksei Zharkov,3.692000000000001
Aleksey Dmitriev,2.9927272727272722
Aleksey Guskov,3.212857142857143
Aleksey Petrenko,3.4607142857142854
Aleksey Serebryakov,3.3194444444444446
Aleks Paunovic,2.6562962962962966
Alencier Ley Lopez,3.1397727272727267
Alessandra Martines,3.2930769230769226
Alessandro Borghi,3.3593333333333333
Alessandro Bressanello,3.0460000000000003
Alessandro Cremona,3.09
Alessandro Genovesi,3.2224999999999997
Alessandro Haber,3.2563333333333326
Alessandro Juliani,3.260277777777778
Alessandro Nivola,3.1015000000000006
Alessandro Paci,2.886
Alessandro Serradimigni,3.944545454545455
Alessandro Siani,2.8008333333333333
Alessandro Sperduti,3.1436363636363636
Alessandro Tedeschi,3.3254545454545448
Alessandro Tiberi,3.037272727272727
Alex Abbad,3.2842857142857143
Alexander Allerson,3.40764705882353
Alexander Beyer,3.2873684210526313
Alexander Calvert,3.007142857142857
Alexander Engel,3.315454545454546
Alexander Fehling,3.3123809523809524
Alexander Gould,3.141818181818182
Alexander Held,3.5164705882352942
Alexander Knox,3.3375
Alexander Lockwood,3.4094117647058826
Alexander Schubert,2.9225
Alexander Scourby,3.308333333333333
Alexander Skarsgård,3.152571428571429
Alexander Winters,2.584
Alexandra Breckenridge,2.994375
Alexandra Neldel,3.0541666666666667
Alexandra Nicole Hulme,3.03
Alexandra Paul,2.871052631578947
Alexandra Powers,3.3340000000000005
Alexandra Richter,3.1740000000000004
Alexandra Stewart,3.3878571428571433
Alexandr Domogarov,3.2459999999999996
Alexandre Astier,3.2893333333333334
Alexandre Rignault,3.5631250000000003
Alexandre Steiger,3.2405
Alexandria DeBerry,2.733636363636364
Alexandrine Agostini,3.251818181818182
Álex Angulo,3.307894736842106
Alexa PenaVega,2.7958139534883717
Alex Ball,3.2580000000000005
Alex Brown,3.184
Alex Colon,3.20875
Alex Cox,3.307894736842105
Alex Daniels,2.886
Alex Dimitriades,3.1079999999999997
Alex D. Linz,2.965
Alexei Jawdokimov,3.3175000000000003
Alexei Sayle,3.2224999999999997
Alex Essoe,2.9172222222222217
Alex Ferns,3.329230769230769
Alex Ferris,2.8457142857142856
Alex Fong,3.204814814814815
Álex García,3.0976470588235294
Alex Gibney,3.5909090909090904
Alex Hyde-White,3.070666666666667
Alexia Landeau,3.1350000000000002
Alexia Murray,3.275
Alexie Gilmore,2.9869999999999997
Alexis Arquette,3.140416666666667
Alexis Bledel,2.9357894736842107
Alexis Denisof,3.168461538461538
Alexis Knapp,2.601176470588235
Alexis Loret,3.383636363636364
Alexis Rodney,2.974615384615384
Alexis Smith,3.290645161290323
Alex Karras,3.3310000000000004
Alex Karzis,2.9490909090909097
Alex Knight,2.9128571428571424
Alex Lifeson,3.4828571428571427
Alex Lutz,3.112333333333333
Alex MacNicoll,2.941818181818182
Alex Man,3.311818181818182
Àlex Maruny,2.909
Alex Meraz,2.5509999999999997
Àlex Monner,2.9579999999999993
Alex Montoya,3.4172727272727275
Alex Nicol,3.1653846153846152
Alex Norton,3.279130434782609
Alex Rocco,3.14575
Alex Ross,3.213333333333333
Alex Ross Perry,3.2709090909090905
Alex Russell,3.16
Alex Scott,3.3999999999999995
Alex Solowitz,2.955
Alex Stevens,3.2626666666666666
Alex Trebek,3.2168421052631575
Alex Van,2.920666666666667
Alex Vincent Medina,3.1725
Alex Winter,3.223571428571429
Alexx O'Nell,3.0159999999999996
Alex Zahara,2.771851851851852
Al Ferguson,3.3782608695652163
Alf Humphreys,3.02
Alfie Allen,3.0529999999999995
Alfonso Giganti,3.315483870967741
Alfonso Tort,3.3958333333333335
Al Franken,3.2925
Alfred Abel,3.6181818181818186
Alfred Adam,3.553000000000001
Alfred Burke,3.414285714285714
Alfred Edel,3.5585714285714287
Alfred Enoch,3.634117647058824
Alfred Hitchcock,3.6125
Alfredo Castro,3.348928571428572
Alfredo Landa,3.4814285714285718
Alfredo Mayo,3.242666666666666
Al Freeman Jr.,3.3799999999999994
Algee Smith,3.2290000000000005
Al Gore,3.501052631578947
Al Haskell,3.3330434782608696
Al Herman,3.39
Alia Bhatt,3.2071428571428577
Ali Al Sharif,3.551904761904762
Ali Al Tayeb,3.233076923076923
Ali Basha,3.0650819672131155
Alice Arno,3.2560000000000002
Alice Belaïdi,3.033181818181818
Alice Borges,2.926666666666667
Alice Braga,3.165483870967742
Alice Cooper,3.368478260869565
Alice David,2.9254545454545453
Alice de Lencquesaing,3.41695652173913
Alice Dinnean,3.0692857142857144
Alice Drummond,3.2465714285714293
Alice Englert,3.184285714285714
Alice Eve,2.8518918918918916
Alice Faye,3.332
Alice Ghostley,3.1869230769230765
Alice Hirson,3.052
Alice Isaaz,3.1768421052631575
Alice Krige,3.0068888888888883
Alice Lowe,3.3709374999999993
Alice Spivak,3.4425000000000003
Alice Taglioni,3.0643478260869568
Alicia Rubio,3.277
Alicia Silverstone,2.7990000000000004
Alicia Vikander,3.266666666666667
Alicja Bachleda-Curuś,3.095
Alida Valli,3.4111111111111114
Ali Demir,3.309411764705882
Ali Düşenkalkar,3.200909090909091
Ali Fazal,3.0594117647058816
Ali Hassanein,3.5100000000000002
Ali Hillis,2.8799999999999994
Aliki Vougiouklaki,3.245
Ali Larter,2.910555555555556
Ali Liebert,3.0209090909090905
Ali Marhyar,3.04
Ali Mosaffa,2.917368421052632
Aline Pilato,3.0400000000000005
Aline Towne,3.275
Ali Reza,3.063846153846154
Alisa Freyndlikh,3.645454545454545
Ali Seçkiner Alıcı,3.309333333333333
Alison Brie,3.031290322580645
Alison Eastwood,3.086363636363636
Alison Elliott,3.3088235294117645
Alison Faulk,2.846363636363636
Alison Folland,3.3607692307692307
Alison Lohman,3.012222222222222
Alison Pill,3.3592857142857153
Alison Sweeney,3.0395
Alison Wandzura,3.03
Alison Wheeler,3.005
Alissa Skovbye,2.881
Alistair Petrie,3.1717391304347835
Ali Sürmeli,3.228181818181818
Ali Wentworth,3.0472727272727274
Ali Wong,3.1517647058823535
Aliyah O'Brien,2.7842857142857143
Al Kikume,3.1314285714285712
Alla Demidova,3.6854545454545455
Allan Arbus,3.2399999999999993
Allan Cavan,3.36625
Allan Corduner,3.2847500000000003
Allan Edwall,3.703076923076923
Allan Havey,3.151666666666667
Allan Jeayes,3.426315789473685
Allan Kolman,3.2190909090909092
Allan Miller,3.283
Allan Paule,3.246666666666667
Allan Rich,3.12875
Allan Svensson,3.1545454545454548
Allan Trautman,3.060833333333333
Allari Naresh,3.1846153846153844
Allen Covert,2.615555555555556
Allen Ginsberg,3.5823809523809533
Allen Jaffe,3.3725
Allen Jenkins,3.343389830508474
Allen Lewis Rickman,3.0581818181818177
Allen Maldonado,3.0123529411764705
Allen Payne,3.0416666666666665
Allen Swift,3.202941176470588
Allen Wood,3.3123076923076926
Al Leong,3.0425000000000004
Allison Hayes,2.958181818181819
Allison Janney,3.1748000000000007
Allison Smith,3.1283333333333334
Allison Tolman,3.1478571428571427
Allison Williams,3.147272727272727
Al Lloyd,3.311818181818182
Allu Arjun,3.1245833333333333
Allu Ramalingaiah,3.5360000000000005
Ally Maki,2.9241666666666664
Allyn Ann McLerie,3.4546666666666668
Ally Sheedy,3.1286666666666663
Ally Walker,2.9829999999999997
Alma Beltran,3.245714285714286
Alma Jodorowsky,3.2020000000000004
Alma Martinez,3.1008333333333327
Al Matthews,3.2469230769230775
Almila Bağrıaçık,3.14
Al Murphy,3.394285714285714
Alok Nath,3.100967741935484
Aloma Wright,2.8850000000000007
Alon Abutbul,3.201333333333333
Al Pacino,3.362530120481928
Alper Kul,2.9815384615384612
Alphonso DuBois,3.566666666666667
Al Roberts,3.4042857142857144
Al Roker,2.8223809523809527
Al Ruscio,3.0319999999999996
Al Sapienza,2.8648936170212767
Al Sharpton,3.5177777777777774
Al St. John,3.151875000000001
Altan Erkekli,3.1553333333333327
Al Tantay,3.0666666666666664
Althaf Salim,3.1506250000000002
Al Thompson,3.272750000000001
Alun Armstrong,3.31325
Álvaro Cervantes,3.011111111111111
Álvaro de Luna,3.405384615384615
Álvaro Freire,3.467
Alvaro Vitali,3.389285714285715
Al Vicente,2.9666666666666672
Alvin Anson,3.172
Alvin Hammer,3.2829166666666674
Alvin Sanders,2.8855
Alvy Moore,3.1188461538461536
Al White,2.954166666666667
Al Wyatt Sr.,3.33090909090909
Alwyn Uytingco,3.2223076923076923
Alycia Delmore,3.1163636363636367
Alyshia Ochse,2.724285714285714
Alysia Reiner,3.083529411764706
Alyson Hannigan,2.635294117647059
Alyssa Milano,2.783793103448276
Amado Zumaya,3.525
Amala Akkineni,3.4042857142857144
Amalia Pellegrini,3.491818181818182
Amanchi Venkata Subrahmanyam,3.2956250000000002
Amanda Abbington,3.44
Amanda Blake,3.3409090909090904
Amanda Brugel,3.0421052631578944
Amanda Bynes,3.0341666666666662
Amanda Donohoe,3.0138461538461536
Amanda Fuller,2.8275
Amanda Peet,2.951944444444445
Amanda Root,3.3649999999999998
Amanda Wyss,3.0774999999999992
Amandla Stenberg,3.277058823529412
Amane Okayama,3.285416666666666
Amaury Nolasco,2.7300000000000004
Amber Benson,3.0875
Amber Bongard,3.130909090909091
Amber Heard,2.789459459459459
Amber Midthunder,2.96
Amber Stevens West,2.9429999999999996
Amber Tamblyn,3.1333333333333337
Ambrosine Phillpotts,3.2559999999999993
Ambyr Childers,2.7994117647058823
Amedeo Nazzari,3.4308333333333327
Ameesha Patel,3.0931249999999997
Amelia Campbell,3.221538461538462
Amelia Warner,2.8054545454545456
America Ferrera,3.3718518518518517
America Young,3.1160869565217397
Amina Rizk,3.6290909090909085
Aming Sugandhi,3.2481250000000004
Amin Hayaei,2.3916666666666666
Amin Joseph,2.8361111111111104
Amira Casar,3.2909677419354835
Amir Karara,2.944
Amir Talai,2.9816666666666674
Amitai Marmorstein,2.7143750000000004
Amit Shah,3.202068965517241
Amparo Soler Leal,3.5080000000000005
Amrita Arora,2.944
Amrita Singh,3.018461538461539
Amruta Khanvilkar,3.17
Amruta Subhash,3.2466666666666675
Amr Waked,3.183181818181818
Amr Youssef,3.1208333333333336
Amy Acker,3.093846153846154
Amy Brenneman,3.1995652173913043
Amy Groening,2.985625
Amy Hargreaves,3.1830769230769227
Amy Hill,2.8954838709677415
Amy Irving,3.325
Amy Jackson,2.8312500000000003
Amy Jo Johnson,2.9674999999999994
Amy Locane,3.102727272727273
Amy Madigan,3.333714285714285
Amy Paffrath,2.3261538461538462
Amy Parrish,2.7568750000000004
Amy Schumer,3.0980000000000003
Amy Sedaris,2.994285714285713
Amy Seimetz,3.135405405405406
Amy Sloan,2.916153846153846
Amy Steel,3.1981818181818182
Amy Stewart,3.11
Amy Taubin,3.626363636363637
Amy Veness,3.4000000000000004
Amy Yasbeck,3.0290909090909093
Amy Yip,3.258333333333334
Ana Abad-Santos,3.1460000000000004
Anabela Moreira,3.294166666666667
Ana de Armas,2.8864
Ana de la Reguera,2.841666666666667
Ana Fernández,3.2769999999999997
Ana Gasteyer,2.8692
Ana Girardot,3.168125
Anaïs Demoustier,3.284750000000001
Ana Katz,3.3009999999999997
Ana María Hernández,3.496363636363637
Ana Maria Quintana,3.478
Anamaria Vartolomei,3.2109999999999994
Anand,3.159166666666667
Anandaraj,3.0116129032258074
Anandhi,3.1279999999999997
Anand Tiwari,3.2709090909090905
Anang Desai,3.131875000000001
Ananth Babu,3.225
Ananth Narayan Mahadevan,3.121875
Anant Jog,3.003846153846153
Anant Nag,3.4543749999999998
Ananya,3.0323529411764705
Ana Ofelia Murguía,3.406
Ana Ortiz,2.865
Ana Polvorosa,2.947
Ana Serradilla,2.950909090909091
Anaswara Rajan,3.0518181818181818
Anatoli Papanov,3.6662500000000002
Anatoliy Belyy,3.1463636363636365
Anatoliy Solonitsyn,3.996999999999999
Anatoly Slivnikov,3.63
Ana Ularu,2.7845454545454547
Anders Baasmo Christiansen,3.204516129032259
Anders Brink Madsen,3.295833333333333
Anders Holm,2.8870588235294115
Anders Matthesen,3.1799999999999997
Anderson Cooper,3.3435
Anders T. Andersen,3.240000000000001
Anders W. Berthelsen,3.2340740740740745
Andi Awwe Wijaya,3.1714285714285713
Andie MacDowell,3.099423076923077
Andovi da Lopez,2.9850000000000003
Andranic Manet,3.3058333333333336
András Bálint,3.4976923076923074
Andrea Aureli,3.18
Andréa Beltrão,3.344761904761905
Andrea Bruschi,3.0015384615384617
André Abujamra,3.5140000000000002
Andrea Del Rosario,3.169090909090909
Andrea Di Stefano,3.094545454545455
Andréa Ferréol,3.365
Andrea Frankle,2.7268
Andrea King,3.261052631578947
Andrea Osvárt,2.9427272727272733
Andrea Powell,2.734615384615385
Andrea Romano,3.4089655172413793
Andrea Roncato,2.9307142857142856
Andrea Savage,2.831666666666667
Andrea Sawatzki,3.1225
Andrea Scotti,3.191666666666667
Andreas Fronk,3.3270000000000004
Andreas Katsulas,3.1635294117647064
Andreas Konstantinou,3.3200000000000003
Andreas Malandrinos,3.186666666666666
Andreas Schmidt,3.408333333333333
Andreas Schröders,3.2459999999999996
Andreas Wisniewski,3.123846153846154
André Badin,3.432
Andre B. Blake,3.237692307692308
Andre Braugher,3.154615384615385
André Chaumeau,3.354
André Cheron,3.324375
André Dalibert,3.6018181818181816
Andrée Damant,3.384666666666667
André Falcon,3.5159374999999993
André Holland,3.345
Andre Hyland,3.208181818181818
Andrei Panin,3.3299999999999996
André Leon Talley,3.453333333333333
André Maranne,3.1505
André Marcon,3.4062857142857146
André Mattos,3.022857142857143
André Oumansky,3.2583333333333337
André Penvern,3.2236666666666665
Andre Robinson,2.836153846153846
Andre Rosey Brown,2.8486666666666673
André Rouyer,3.578181818181818
Andre Royo,3.156999999999999
Andrés Almeida,3.1582352941176475
André Sjöberg,3.364545454545455
André Sogliuzzo,3.0233333333333334
Andre Stojka,3.28076923076923
Andreu Buenafuente,2.885
Andrew Airlie,2.8014814814814817
Andrew Bachelor,2.316363636363636
Andrew Bicknell,3.3141176470588234
Andrew Brooke,3.0816666666666666
Andrew Buchan,3.35
Andrew Cruickshank,3.3880000000000003
Andrew Duncan,3.4977777777777788
Andrew Fiscella,2.7035294117647055
Andrew Francis,3.038048780487804
Andrew Havill,3.241714285714286
Andrew Herr,2.484545454545454
Andrew Howard,2.845652173913043
Andrew Jackson,2.8024999999999998
Andrew Johnston,3.0090909090909093
Andrew Kavadas,2.8971428571428572
Andrew Keegan,3.0158333333333327
Andrew Keir,3.326666666666666
Andrew Lau Wai-Keung,3.1846153846153844
Andrew Lawrence,2.725
Andrew Lin,3.03
Andrew Lincoln,3.3999999999999995
Andrew MacLachlan,3.4979999999999998
Andrew Masset,2.9227272727272724
